availability_id,room_id,date,available_stock,used_stock,total_stock
AV1,R1,05-01-2025,5,0,5
AV2,R1,05-02-2025,5,0,5
AV3,R1,05-03-2025,5,0,5
AV4,R1,05-04-2025,5,0,5
AV5,R1,05-05-2025,5,0,5
AV6,R1,05-06-2025,5,0,5
AV7,R1,05-07-2025,5,0,5
AV8,R1,05-08-2025,5,0,5
AV9,R1,05-09-2025,5,0,5
AV10,R1,05-10-2025,5,0,5
AV11,R1,05-11-2025,5,0,5
AV12,R1,05-12-2025,5,0,5
AV13,R1,05-13-2025,5,0,5
AV14,R1,05-14-2025,5,0,5
AV15,R1,05-15-2025,5,0,5
AV16,R1,05-16-2025,5,0,5
AV17,R1,05-17-2025,5,0,5
AV18,R1,05-18-2025,5,0,5
AV19,R1,05-19-2025,5,0,5
AV20,R1,05-20-2025,5,0,5
AV21,R1,05-21-2025,5,0,5
AV22,R1,05-22-2025,5,0,5
AV23,R1,05-23-2025,5,0,5
AV24,R1,05-24-2025,5,0,5
AV25,R1,05-25-2025,5,0,5
AV26,R1,05-26-2025,5,0,5
AV27,R1,05-27-2025,5,0,5
AV28,R1,05-28-2025,5,0,5
AV29,R1,05-29-2025,5,0,5
AV30,R1,05-30-2025,5,0,5
AV31,R2,05-01-2025,3,0,3
AV32,R2,05-02-2025,3,0,3
AV33,R2,05-03-2025,3,0,3
AV34,R2,05-04-2025,3,0,3
AV35,R2,05-05-2025,3,0,3
AV36,R2,05-06-2025,3,0,3
AV37,R2,05-07-2025,3,0,3
AV38,R2,05-08-2025,3,0,3
AV39,R2,05-09-2025,3,0,3
AV40,R2,05-10-2025,3,0,3
AV41,R2,05-11-2025,3,0,3
AV42,R2,05-12-2025,3,0,3
AV43,R2,05-13-2025,3,0,3
AV44,R2,05-14-2025,3,0,3
AV45,R2,05-15-2025,3,0,3
AV46,R2,05-16-2025,3,0,3
AV47,R2,05-17-2025,3,0,3
AV48,R2,05-18-2025,3,0,3
AV49,R2,05-19-2025,3,0,3
AV50,R2,05-20-2025,3,0,3
AV51,R2,05-21-2025,3,0,3
AV52,R2,05-22-2025,3,0,3
AV53,R2,05-23-2025,3,0,3
AV54,R2,05-24-2025,3,0,3
AV55,R2,05-25-2025,3,0,3
AV56,R2,05-26-2025,3,0,3
AV57,R2,05-27-2025,3,0,3
AV58,R2,05-28-2025,3,0,3
AV59,R2,05-29-2025,3,0,3
AV60,R2,05-30-2025,3,0,3
AV61,R3,05-01-2025,5,0,5
AV62,R3,05-02-2025,5,0,5
AV63,R3,05-03-2025,5,0,5
AV64,R3,05-04-2025,5,0,5
AV65,R3,05-05-2025,5,0,5
AV66,R3,05-06-2025,5,0,5
AV67,R3,05-07-2025,5,0,5
AV68,R3,05-08-2025,5,0,5
AV69,R3,05-09-2025,5,0,5
AV70,R3,05-10-2025,5,0,5
AV71,R3,05-11-2025,5,0,5
AV72,R3,05-12-2025,5,0,5
AV73,R3,05-13-2025,5,0,5
AV74,R3,05-14-2025,5,0,5
AV75,R3,05-15-2025,5,0,5
AV76,R3,05-16-2025,5,0,5
AV77,R3,05-17-2025,5,0,5
AV78,R3,05-18-2025,5,0,5
AV79,R3,05-19-2025,5,0,5
AV80,R3,05-20-2025,5,0,5
AV81,R3,05-21-2025,5,0,5
AV82,R3,05-22-2025,5,0,5
AV83,R3,05-23-2025,5,0,5
AV84,R3,05-24-2025,5,0,5
AV85,R3,05-25-2025,5,0,5
AV86,R3,05-26-2025,5,0,5
AV87,R3,05-27-2025,5,0,5
